F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.09e+00,-8.96e-19,-1.05e-19,1.14e-18,9.58e-01,-6.08e-19,-1.37e-18,5.31e-19,9.57e-01,1.03e+00,3.71e-04,-8.16e-04,3.70e-04,-2.88e-09,2.68e-03,-8.14e-04,2.68e-03,-3.07e-09
1.20e+00,7.58e-19,-1.05e-18,8.96e-19,9.22e-01,-1.77e-18,1.31e-18,2.78e-19,9.21e-01,1.89e+00,6.50e-04,-1.56e-03,6.44e-04,-5.93e-09,5.10e-03,-1.55e-03,5.10e-03,-6.32e-09
1.30e+00,-5.96e-19,6.14e-18,-8.76e-19,8.91e-01,-2.35e-18,2.40e-18,2.11e-18,8.90e-01,2.63e+00,8.67e-04,-2.23e-03,8.51e-04,-1.06e-08,7.41e-03,-2.18e-03,7.41e-03,-1.12e-08
1.39e+00,-3.98e-18,-1.12e-17,-4.65e-18,8.64e-01,-2.47e-18,-1.20e-17,2.37e-18,8.64e-01,3.29e+00,1.03e-03,-2.82e-03,1.00e-03,-1.63e-08,9.71e-03,-2.73e-03,9.72e-03,-1.71e-08
1.49e+00,-4.77e-18,3.27e-18,3.39e-19,8.40e-01,-4.96e-18,-1.06e-17,4.25e-18,8.40e-01,3.88e+00,1.16e-03,-3.36e-03,1.11e-03,-2.33e-08,1.20e-02,-3.21e-03,1.21e-02,-2.41e-08
1.60e+00,2.17e-18,1.22e-17,6.12e-18,8.20e-01,-5.45e-18,-1.06e-17,2.39e-18,8.19e-01,4.43e+00,1.25e-03,-3.88e-03,1.18e-03,-3.24e-08,1.45e-02,-3.66e-03,1.46e-02,-3.31e-08
1.70e+00,7.78e-18,1.55e-17,-2.02e-17,8.01e-01,-8.53e-18,-4.26e-17,3.09e-18,8.01e-01,4.94e+00,1.28e-03,-4.39e-03,1.20e-03,-4.53e-08,1.72e-02,-4.09e-03,1.73e-02,-4.59e-08
1.79e+00,-6.71e-18,-3.92e-17,-1.43e-17,7.85e-01,-7.40e-18,-1.90e-17,3.33e-18,7.85e-01,5.42e+00,1.26e-03,-4.91e-03,1.16e-03,-6.45e-08,2.01e-02,-4.52e-03,2.01e-02,-6.55e-08
1.89e+00,-1.63e-17,2.87e-17,-7.13e-19,7.71e-01,-3.68e-18,9.26e-18,-1.74e-18,7.71e-01,5.87e+00,1.18e-03,-5.45e-03,1.07e-03,-9.38e-08,2.31e-02,-4.96e-03,2.32e-02,-9.65e-08
2.00e+00,-6.67e-18,-2.88e-17,-5.46e-18,7.58e-01,-3.60e-18,1.23e-17,1.91e-18,7.58e-01,6.30e+00,1.02e-03,-6.02e-03,9.23e-04,-1.39e-07,2.64e-02,-5.42e-03,2.65e-02,-1.46e-07
