F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.20e+00,2.92e-34,2.09e-35,1.17e-34,9.20e-01,2.47e-35,-1.42e-35,2.11e-36,9.20e-01,1.67e+00,5.59e-34,4.79e-35,2.66e-34,7.54e-12,1.96e-34,-4.93e-35,2.60e-34,7.54e-12
1.40e+00,3.64e-34,-9.43e-35,-2.68e-34,8.58e-01,4.23e-35,-1.11e-35,2.34e-34,8.58e-01,2.92e+00,3.02e-33,-1.87e-34,-2.64e-33,7.87e-11,1.02e-33,-1.75e-34,1.06e-33,7.87e-11
1.59e+00,-2.76e-33,-1.67e-35,1.23e-33,8.09e-01,-1.63e-34,-1.36e-35,2.49e-34,8.09e-01,3.95e+00,-8.71e-34,-5.59e-34,-4.06e-33,3.87e-11,3.51e-34,2.02e-34,1.64e-34,3.87e-11
1.80e+00,-1.61e-33,-8.10e-35,1.32e-33,7.69e-01,-1.43e-34,-2.30e-34,1.19e-34,7.69e-01,4.83e+00,1.37e-33,-1.46e-33,7.19e-33,1.41e-11,1.64e-34,-1.20e-33,-2.10e-34,1.41e-11
2.00e+00,-9.96e-34,5.21e-35,2.28e-33,7.35e-01,-5.07e-34,-2.33e-34,8.54e-35,7.35e-01,5.61e+00,6.37e-33,-5.56e-34,4.73e-33,4.30e-12,-1.77e-33,-1.02e-33,-1.51e-33,4.30e-12
2.19e+00,-1.25e-33,2.48e-35,8.36e-34,7.07e-01,-4.59e-34,-6.97e-35,4.32e-35,7.07e-01,6.33e+00,-3.13e-32,-3.87e-34,-1.25e-33,1.05e-12,-1.26e-33,-7.16e-34,-1.89e-33,1.05e-12
2.40e+00,-3.35e-33,-3.13e-34,1.95e-33,6.83e-01,-3.63e-34,-2.06e-35,1.29e-34,6.83e-01,7.00e+00,1.94e-32,-6.36e-34,4.51e-33,-7.02e-06,-1.55e-33,-6.70e-35,2.84e-34,-7.02e-06
2.60e+00,1.10e-32,-2.99e-34,-2.69e-33,6.61e-01,-1.94e-34,1.70e-34,-3.23e-34,6.61e-01,7.63e+00,-2.17e-32,-1.62e-33,-1.93e-32,-1.31e-06,-2.59e-33,3.06e-34,-1.49e-33,-1.31e-06
2.80e+00,-3.53e-33,-3.06e-34,2.27e-33,6.43e-01,-2.40e-34,2.48e-35,-1.43e-34,6.43e-01,8.23e+00,-5.02e-32,-2.23e-33,-7.23e-33,1.93e-06,-8.37e-34,-1.72e-34,2.37e-33,1.93e-06
3.00e+00,-1.33e-33,-7.76e-34,1.60e-32,6.26e-01,-1.04e-34,2.48e-34,-4.48e-34,6.26e-01,8.80e+00,9.38e-33,-1.99e-33,4.61e-33,3.67e-06,2.85e-33,-1.49e-33,-3.65e-33,3.67e-06
