F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-6.39e-20,-1.42e-20,2.77e-19,9.57e-01,7.99e-20,1.77e-19,-2.17e-19,9.58e-01,1.03e+00,5.58e-04,8.39e-04,5.57e-04,-2.41e-09,1.75e-03,8.37e-04,1.75e-03,-2.40e-09
1.20e+00,3.83e-19,-3.26e-19,-3.40e-19,9.21e-01,2.37e-19,1.70e-19,-1.40e-19,9.22e-01,1.88e+00,1.19e-03,1.64e-03,1.17e-03,-5.20e-09,3.40e-03,1.62e-03,3.41e-03,-5.21e-09
1.30e+00,9.94e-19,1.84e-19,-1.20e-18,8.89e-01,-3.37e-20,-1.56e-19,4.26e-20,8.91e-01,2.62e+00,1.88e-03,2.40e-03,1.84e-03,-9.10e-09,5.08e-03,2.36e-03,5.08e-03,-9.24e-09
1.40e+00,-8.52e-20,-8.24e-19,-5.68e-20,8.62e-01,-1.24e-19,-1.30e-18,2.73e-19,8.65e-01,3.28e+00,2.63e-03,3.15e-03,2.53e-03,-1.31e-08,6.84e-03,3.05e-03,6.85e-03,-1.35e-08
1.50e+00,1.13e-18,0.00e+00,6.81e-19,8.38e-01,-2.02e-19,-2.30e-18,-6.74e-20,8.41e-01,3.87e+00,3.42e-03,3.89e-03,3.23e-03,-1.68e-08,8.76e-03,3.71e-03,8.78e-03,-1.78e-08
1.60e+00,8.24e-19,-5.11e-19,1.36e-18,8.17e-01,-4.36e-19,-3.18e-18,3.30e-19,8.21e-01,4.42e+00,4.24e-03,4.62e-03,3.92e-03,-2.10e-08,1.08e-02,4.33e-03,1.08e-02,-2.29e-08
1.70e+00,3.09e-18,-3.40e-19,9.66e-19,7.98e-01,-7.13e-19,-1.53e-18,6.39e-20,8.03e-01,4.93e+00,5.07e-03,5.34e-03,4.59e-03,-2.62e-08,1.31e-02,4.93e-03,1.31e-02,-2.96e-08
1.80e+00,6.81e-18,-3.97e-19,2.38e-18,7.82e-01,-3.55e-19,-1.25e-18,1.63e-19,7.87e-01,5.40e+00,5.92e-03,6.06e-03,5.22e-03,-3.35e-08,1.56e-02,5.50e-03,1.57e-02,-3.93e-08
1.90e+00,1.00e-17,2.84e-19,1.76e-18,7.67e-01,5.68e-20,-1.64e-18,-4.97e-20,7.74e-01,5.86e+00,6.76e-03,6.78e-03,5.82e-03,-4.42e-08,1.83e-02,6.05e-03,1.84e-02,-5.41e-08
2.00e+00,8.04e-18,2.72e-18,-1.98e-18,7.54e-01,6.39e-20,-3.97e-18,2.62e-19,7.62e-01,6.29e+00,7.58e-03,7.49e-03,6.36e-03,-6.08e-08,2.12e-02,6.57e-03,2.13e-02,-7.77e-08
