F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-5.05e-18,8.38e-18,2.18e-18,9.58e-01,-1.00e-18,2.44e-18,-2.43e-18,9.56e-01,1.39e+00,3.22e-03,9.80e-03,3.20e-03,-2.23e-10,-5.70e-03,9.78e-03,-5.70e-03,-1.61e-10
1.20e+00,-7.10e-18,9.37e-18,1.04e-17,9.25e-01,-2.62e-18,5.45e-18,1.21e-18,9.20e-01,2.52e+00,8.31e-03,1.94e-02,8.25e-03,-3.68e-09,-1.21e-02,1.93e-02,-1.21e-02,-2.59e-09
1.30e+00,7.04e-18,4.54e-19,2.35e-17,8.99e-01,2.33e-18,3.29e-18,3.65e-18,8.92e-01,3.49e+00,1.46e-02,2.92e-02,1.44e-02,-4.01e-09,-1.96e-02,2.90e-02,-1.96e-02,-3.33e-09
1.40e+00,2.97e-17,-2.87e-17,4.12e-17,8.78e-01,-9.22e-18,2.95e-18,6.69e-18,8.68e-01,4.36e+00,2.19e-02,3.92e-02,2.15e-02,-3.15e-09,-2.86e-02,3.87e-02,-2.86e-02,-2.97e-09
1.50e+00,3.79e-17,-3.27e-17,5.50e-17,8.62e-01,-1.58e-17,1.59e-18,8.25e-18,8.50e-01,5.16e+00,2.99e-02,4.95e-02,2.91e-02,-3.28e-09,-3.94e-02,4.86e-02,-3.95e-02,-3.33e-09
1.60e+00,2.45e-17,-4.22e-17,4.97e-17,8.50e-01,-1.75e-17,-4.54e-18,8.69e-18,8.35e-01,5.92e+00,3.85e-02,6.02e-02,3.73e-02,-4.71e-09,-5.24e-02,5.88e-02,-5.26e-02,-4.99e-09
1.70e+00,2.63e-17,-2.93e-17,5.18e-17,8.41e-01,-1.07e-17,-1.72e-17,8.88e-18,8.24e-01,6.64e+00,4.78e-02,7.12e-02,4.60e-02,-8.36e-09,-6.80e-02,6.92e-02,-6.83e-02,-9.09e-09
1.80e+00,2.68e-17,-1.68e-17,5.52e-17,8.37e-01,-1.59e-17,-4.41e-17,8.09e-19,8.17e-01,7.33e+00,5.78e-02,8.25e-02,5.53e-02,-1.69e-08,-8.63e-02,7.97e-02,-8.69e-02,-1.85e-08
1.90e+00,4.36e-17,1.27e-17,5.63e-17,8.36e-01,-5.37e-18,-4.09e-17,-2.01e-17,8.12e-01,8.00e+00,6.85e-02,9.39e-02,6.50e-02,-4.12e-08,-1.07e-01,9.04e-02,-1.08e-01,-4.31e-08
2.00e+00,5.36e-17,3.04e-17,5.13e-17,8.39e-01,-2.07e-17,-6.41e-17,-7.69e-17,8.11e-01,8.64e+00,7.97e-02,1.05e-01,7.51e-02,-1.89e-07,-1.31e-01,1.01e-01,-1.33e-01,-1.79e-07
