name,phr,id,phi,partial_run,RF_sim,RF_sim_vs_E0,RF_guth_gold,RF_mori_tanaka,RF_sim/RF_gg,RF_sim/RF_mt
phr_13.26_id6_voxel_output,13.26,6,0.063472,False,1.1342,0.9171,1.2155,1.1564,0.9331,0.9808
phr_15.09_id3_voxel_output,15.09,3,0.071607,False,1.1422,0.9236,1.2513,1.1779,0.9128,0.9697
phr_17.11_id4_voxel_output,17.11,4,0.080405,False,1.1687,0.9450,1.2922,1.2015,0.9044,0.9727
phr_19.04_id9_voxel_output,19.04,9,0.088675,False,1.1695,0.9457,1.3326,1.2241,0.8777,0.9554
phr_19.31_id7_voxel_output,19.31,7,0.089831,False,1.1890,0.9614,1.3384,1.2273,0.8884,0.9688
phr_20.99_id2_voxel_output,20.99,2,0.096906,False,1.2190,0.9857,1.3747,1.2470,0.8868,0.9775
phr_23.28_id14_voxel_output,23.28,14,0.106336,False,1.2420,1.0043,1.4253,1.2738,0.8714,0.9750
phr_23.92_id18_voxel_output,23.92,18,0.108944,False,1.2464,1.0079,1.4397,1.2813,0.8657,0.9728
phr_24.58_id8_voxel_output,24.58,8,0.111603,False,1.2544,1.0143,1.4546,1.2889,0.8623,0.9732
phr_24.62_id10_voxel_output,24.62,10,0.111787,False,1.2756,1.0314,1.4557,1.2895,0.8763,0.9892
phr_25.85_id1_voxel_output,25.85,1,0.116718,False,1.2764,1.0321,1.4839,1.3038,0.8602,0.9790
phr_26.35_id5_voxel_output,26.35,5,0.118674,False,1.2385,1.0014,1.4953,1.3095,0.8282,0.9457
phr_26.97_id15_voxel_output,26.97,15,0.121165,False,1.2974,1.0479,1.5099,1.3169,0.8592,0.9852
phr_27.09_id28_voxel_output,27.09,28,0.121633,False,1.2932,1.0457,1.5127,1.3183,0.8549,0.9810
phr_27.19_id11_voxel_output,27.19,11,0.122005,False,1.2835,1.0379,1.5149,1.3194,0.8473,0.9728
phr_28.10_id17_voxel_output,28.10,17,0.125600,False,1.2862,1.0400,1.5364,1.3301,0.8371,0.9670
phr_28.17_id22_voxel_output,28.17,22,0.125844,False,1.3065,1.0564,1.5379,1.3308,0.8495,0.9817
phr_28.61_id24_voxel_output,28.61,24,0.127576,False,1.2862,1.0400,1.5484,1.3360,0.8306,0.9627
phr_29.71_id20_voxel_output,29.71,20,0.131851,False,1.2906,1.0436,1.5748,1.3488,0.8195,0.9568
phr_29.81_id19_voxel_output,29.81,19,0.132199,False,1.3038,1.0543,1.5769,1.3499,0.8268,0.9659
phr_30.18_id37_voxel_output,30.18,37,0.133647,False,1.2959,1.0479,1.5860,1.3543,0.8171,0.9569
phr_30.88_id12_voxel_output,30.88,12,0.136318,False,1.3233,1.0700,1.6028,1.3624,0.8256,0.9713
phr_31.19_id21_voxel_output,31.19,21,0.137506,False,1.3385,1.0881,1.6104,1.3660,0.8312,0.9798
phr_31.79_id16_voxel_output,31.79,16,0.139754,False,1.3453,1.0879,1.6248,1.3729,0.8280,0.9799
phr_32.59_id13_voxel_output,32.59,13,0.142801,False,1.3330,1.0779,1.6445,1.3823,0.8105,0.9643
phr_32.61_id27_voxel_output,32.61,27,0.142849,False,1.3383,1.0821,1.6448,1.3825,0.8136,0.9680
phr_33.11_id25_voxel_output,33.11,25,0.144725,False,1.3453,1.0879,1.6571,1.3883,0.8118,0.9691
phr_34.92_id38_voxel_output,34.92,38,0.151444,False,1.3845,1.1182,1.7020,1.4093,0.8135,0.9824
phr_36.14_id33_voxel_output,36.14,33,0.155907,False,1.3886,1.1229,1.7325,1.4235,0.8015,0.9755
phr_36.66_id26_voxel_output,36.66,26,0.157814,False,1.4178,1.1464,1.7457,1.4296,0.8122,0.9917
phr_36.80_id36_voxel_output,36.80,36,0.158326,False,1.4010,1.1329,1.7493,1.4312,0.8009,0.9789
phr_37.17_id30_voxel_output,37.17,30,0.159638,False,1.3886,1.1229,1.7584,1.4354,0.7897,0.9674
phr_38.50_id40_voxel_output,38.50,40,0.164425,False,1.4346,1.1663,1.7923,1.4509,0.8004,0.9888
phr_39.24_id29_voxel_output,39.24,29,0.167041,False,1.4063,1.1371,1.8110,1.4594,0.7765,0.9636
phr_39.39_id39_voxel_output,39.39,39,0.167572,False,1.4107,1.1407,1.8149,1.4611,0.7773,0.9655
phr_39.77_id31_voxel_output,39.77,31,0.168936,False,1.4487,1.1714,1.8247,1.4656,0.7939,0.9884
phr_42.69_id47_voxel_output,42.69,47,0.179102,False,1.4584,1.1793,1.9000,1.4994,0.7676,0.9727
phr_42.69_id49_voxel_output,42.69,49,0.179114,False,1.4452,1.1686,1.9001,1.4994,0.7606,0.9638
phr_43.85_id35_voxel_output,43.85,35,0.183074,False,1.4805,1.1971,1.9303,1.5128,0.7670,0.9787
phr_44.45_id50_voxel_output,44.45,50,0.185125,False,1.4929,1.2071,1.9460,1.5197,0.7671,0.9823
phr_45.16_id44_voxel_output,45.16,44,0.187541,False,1.5072,1.2173,1.9648,1.5280,0.7671,0.9864
phr_45.39_id43_voxel_output,45.39,43,0.188321,False,1.5149,1.2250,1.9709,1.5306,0.7687,0.9897
phr_46.05_id46_voxel_output,46.05,46,0.190512,False,1.5356,1.2403,1.9880,1.5382,0.7724,0.9983
phr_46.86_id41_voxel_output,46.86,41,0.193232,False,1.5777,1.2757,2.0096,1.5476,0.7851,1.0194
phr_47.31_id23_voxel_output,47.31,23,0.194727,False,1.5600,1.2614,2.0215,1.5528,0.7717,1.0046
