F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-5.54e-19,-1.44e-19,3.05e-19,9.89e-01,-2.37e-20,8.52e-20,7.85e-20,9.88e-01,5.06e-01,1.13e-03,-3.62e-03,1.09e-03,-4.47e-10,-1.44e-03,-3.49e-03,-1.44e-03,-5.79e-10
1.04e+00,-5.82e-19,-1.34e-19,-4.97e-20,9.78e-01,1.88e-20,5.68e-19,4.92e-20,9.77e-01,9.89e-01,2.22e-03,-7.55e-03,2.06e-03,-1.59e-10,-2.82e-03,-7.02e-03,-2.81e-03,-2.40e-11
1.07e+00,-8.24e-19,-1.71e-19,-7.38e-19,9.68e-01,-5.71e-20,7.95e-19,-4.83e-20,9.66e-01,1.45e+00,3.22e-03,-1.17e-02,2.90e-03,-4.08e-10,-4.12e-03,-1.05e-02,-4.12e-03,-3.78e-10
1.09e+00,-5.96e-19,-3.14e-19,-1.02e-18,9.58e-01,-1.19e-19,1.25e-18,-3.81e-20,9.55e-01,1.89e+00,4.15e-03,-1.62e-02,3.61e-03,-1.87e-10,-5.38e-03,-1.41e-02,-5.36e-03,-1.31e-10
1.12e+00,-8.24e-19,-1.54e-19,-1.17e-18,9.49e-01,-1.50e-19,2.27e-19,-1.77e-21,9.45e-01,2.32e+00,4.97e-03,-2.09e-02,4.19e-03,-1.62e-10,-6.58e-03,-1.76e-02,-6.56e-03,-1.39e-10
1.14e+00,-1.29e-18,-2.09e-19,-1.96e-18,9.40e-01,-1.86e-19,1.13e-18,2.30e-20,9.36e-01,2.73e+00,5.69e-03,-2.59e-02,4.65e-03,-4.13e-10,-7.75e-03,-2.11e-02,-7.72e-03,-5.19e-10
1.17e+00,-1.27e-18,-7.14e-20,-1.30e-18,9.31e-01,-1.83e-19,2.27e-19,1.40e-19,9.26e-01,3.13e+00,6.29e-03,-3.12e-02,4.99e-03,1.17e-10,-8.90e-03,-2.46e-02,-8.86e-03,1.82e-10
1.19e+00,-1.33e-18,-1.08e-19,-1.47e-18,9.22e-01,-1.93e-19,1.59e-18,-1.42e-19,9.17e-01,3.51e+00,6.78e-03,-3.66e-02,5.22e-03,1.70e-10,-1.00e-02,-2.80e-02,-9.98e-03,1.34e-10
1.22e+00,-2.47e-18,-8.16e-20,-1.02e-18,9.14e-01,-1.16e-19,9.09e-19,-2.13e-19,9.09e-01,3.89e+00,7.16e-03,-4.22e-02,5.35e-03,-2.89e-10,-1.11e-02,-3.13e-02,-1.11e-02,-2.99e-10
1.24e+00,-1.64e-18,-1.33e-19,-7.95e-19,9.06e-01,-2.41e-20,2.72e-18,-2.73e-19,9.00e-01,4.25e+00,7.43e-03,-4.80e-02,5.38e-03,1.27e-11,-1.22e-02,-3.46e-02,-1.22e-02,1.17e-11
1.27e+00,-1.44e-18,2.64e-19,-1.13e-18,8.98e-01,-1.95e-20,2.27e-18,-3.19e-19,8.92e-01,4.60e+00,7.58e-03,-5.40e-02,5.34e-03,6.95e-11,-1.34e-02,-3.78e-02,-1.33e-02,9.09e-11
1.29e+00,-1.81e-18,1.06e-19,-6.25e-19,8.91e-01,-7.39e-20,2.27e-18,-1.18e-19,8.84e-01,4.94e+00,7.63e-03,-6.01e-02,5.23e-03,-6.40e-11,-1.45e-02,-4.09e-02,-1.44e-02,-3.20e-11
1.32e+00,-1.87e-18,6.12e-19,-5.11e-19,8.83e-01,5.70e-20,2.27e-18,1.34e-19,8.76e-01,5.27e+00,7.58e-03,-6.64e-02,5.05e-03,3.01e-09,-1.56e-02,-4.39e-02,-1.55e-02,2.48e-09
1.34e+00,-3.92e-18,4.28e-19,7.95e-19,8.76e-01,8.31e-19,1.36e-18,8.80e-19,8.69e-01,5.59e+00,7.43e-03,-7.28e-02,4.82e-03,3.55e-10,-1.67e-02,-4.69e-02,-1.66e-02,2.98e-10
1.37e+00,-1.93e-18,-1.02e-18,-3.40e-19,8.69e-01,1.71e-18,-2.72e-18,3.09e-19,8.62e-01,5.91e+00,7.14e-03,-7.95e-02,4.51e-03,2.16e-09,-1.79e-02,-4.98e-02,-1.77e-02,1.85e-09
1.39e+00,5.68e-19,-1.18e-18,-1.70e-18,8.62e-01,9.05e-19,-4.09e-18,-1.06e-18,8.55e-01,6.21e+00,6.69e-03,-8.63e-02,4.12e-03,5.74e-10,-1.90e-02,-5.27e-02,-1.88e-02,-5.50e-10
1.42e+00,1.70e-19,-1.15e-18,-3.40e-18,8.56e-01,8.71e-19,-3.18e-18,-1.77e-19,8.48e-01,6.51e+00,6.08e-03,-9.35e-02,3.65e-03,-1.60e-12,-1.99e-02,-5.56e-02,-1.97e-02,-1.05e-12
