structure,contrast,config,family,status,krylov_total,krylov_max_per_solve,newton_total,step_cuts,wall_seconds,solver_seconds,P11,F11,incompatible,filler_strain,F11_min,F11_max,N,increments
1_voxel,10,C5,legacy,converged,36,16,3,0,4.173435688018799,4.128562927246094,1.0409605338495926,1.1,0.6439330519439054,0.02090405882787461,1.0053391281203157,1.230616582563154,31,1
1_voxel,10,FIX,corrected,converged,82,28,3,0,8.265507459640503,8.213220596313477,1.118882126432932,1.1,1.3135419771466406e-14,0.061104575682840945,1.002789725753591,1.2689775673847963,31,1
1_voxel,10,FIX+C5,corrected,converged,41,16,3,0,5.452976226806641,5.40607476234436,1.1188821273337686,1.0999999999999999,4.917704638562671e-15,0.061104574211780234,1.0027897253192901,1.2689775228005429,31,1
1_voxel,10,FIX+C5+Willot,corrected,converged,42,16,3,0,8.896368741989136,8.801966190338135,1.1365614842119938,1.1,3.924991146729334e-15,0.060353621390449856,1.0034920638757765,1.2620425594977203,31,1
1_voxel,10,baseline,legacy,converged,76,28,3,0,7.689470052719116,7.670267581939697,1.0409613568652143,1.1,,,,,31,1
1_voxel,10,baseline-new,legacy,converged,76,28,3,0,8.172243356704712,8.120537996292114,1.0409613568652143,1.1,0.6439190717516925,0.020904249930765385,1.0053384427747758,1.2306195904891746,31,1
1_voxel,100,C5,legacy,converged,130,45,4,0,13.985494613647461,13.657814979553223,1.0835510573180465,1.1,0.640277264459251,0.0036902983136134935,0.9819639760315765,1.269990969017474,31,1
1_voxel,100,FIX,corrected,converged_with_step_cuts,4916,1000,15,3,563.8999156951904,563.5975432395935,1.272604539020119,1.0999999999999999,2.2054810174070584e-13,0.062399613890424144,0.9777303165614776,1.4393675771914347,31,1
1_voxel,100,FIX+C5,corrected,converged,217,67,4,0,23.144769191741943,22.834766149520874,1.2726045375536381,1.1,3.230720205226021e-13,0.06239961126629785,0.9777303166994723,1.439367539666673,31,1
1_voxel,100,FIX+C5+Willot,corrected,converged,226,74,4,0,26.895241498947144,26.580724954605103,1.3023812166716344,1.1,2.7242728516942037e-13,0.06168130496460031,0.9794140995082724,1.3959749798501078,31,1
1_voxel,100,baseline,legacy,converged,311,84,4,0,34.50825524330139,34.486433029174805,1.0835629743426431,1.1,,,,,31,1
1_voxel,100,baseline-new,legacy,converged,311,84,4,0,34.84071230888367,34.788371324539185,1.0835629743426431,1.1,0.6402788032805172,0.003690288216675528,0.9819925409051922,1.2700644301471238,31,1
