F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-8.40e-18,7.88e-18,2.67e-17,9.56e-01,-8.70e-18,-1.19e-18,-1.45e-18,9.55e-01,1.20e+00,-1.46e-03,-1.62e-02,-1.27e-03,2.30e-09,-4.67e-04,-1.40e-02,-4.66e-04,1.54e-09
1.20e+00,-1.92e-17,-4.51e-18,-1.55e-17,9.17e-01,-2.00e-17,3.24e-17,1.51e-17,9.16e-01,2.24e+00,-7.29e-03,-3.76e-02,-5.58e-03,1.61e-09,6.46e-04,-2.87e-02,6.46e-04,8.51e-10
1.30e+00,-4.10e-17,-1.43e-17,3.33e-18,8.84e-01,-1.22e-17,4.48e-17,4.98e-17,8.82e-01,3.16e+00,-1.74e-02,-6.30e-02,-1.18e-02,1.01e-07,2.34e-03,-4.28e-02,2.34e-03,7.77e-08
1.40e+00,-5.86e-17,-1.83e-17,-5.53e-17,8.53e-01,-1.74e-17,8.49e-17,1.88e-17,8.52e-01,3.98e+00,-3.16e-02,-9.07e-02,-1.92e-02,2.02e-10,3.49e-03,-5.52e-02,3.49e-03,6.41e-09
1.50e+00,-9.30e-17,-5.06e-17,-7.82e-17,8.26e-01,6.48e-18,5.81e-17,-3.05e-17,8.26e-01,4.74e+00,-4.93e-02,-1.19e-01,-2.72e-02,2.27e-09,3.61e-03,-6.59e-02,3.60e-03,2.09e-09
1.60e+00,-1.20e-16,-4.69e-17,-3.33e-17,8.02e-01,1.53e-17,8.68e-17,-2.65e-18,8.02e-01,5.45e+00,-7.08e-02,-1.49e-01,-3.55e-02,1.51e-09,3.49e-03,-7.51e-02,3.49e-03,1.65e-09
1.70e+00,-8.68e-17,-6.47e-17,3.05e-17,7.80e-01,1.37e-17,5.81e-17,5.45e-18,7.80e-01,6.11e+00,-9.69e-02,-1.80e-01,-4.45e-02,-1.04e-08,3.56e-03,-8.28e-02,3.56e-03,-1.35e-08
1.80e+00,-1.10e-16,-6.28e-17,7.53e-17,7.60e-01,2.69e-17,-2.86e-18,1.15e-17,7.61e-01,6.75e+00,-1.27e-01,-2.11e-01,-5.39e-02,3.69e-10,4.03e-03,-8.92e-02,4.03e-03,4.07e-10
1.90e+00,-1.13e-16,6.05e-18,1.16e-16,7.41e-01,2.58e-17,-2.28e-17,-5.06e-19,7.43e-01,7.35e+00,-1.61e-01,-2.41e-01,-6.32e-02,-1.88e-10,4.74e-03,-9.45e-02,4.75e-03,-3.05e-10
2.00e+00,-1.44e-16,1.16e-17,1.25e-16,7.25e-01,4.29e-18,-3.05e-17,-4.20e-18,7.27e-01,7.94e+00,-1.98e-01,-2.72e-01,-7.21e-02,-8.06e-10,5.57e-03,-9.89e-02,5.58e-03,-6.14e-10
