F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.04e+00,-6.99e-17,2.32e-17,4.78e-17,9.77e-01,-4.95e-17,2.38e-17,1.46e-17,9.77e-01,5.76e-01,1.23e-04,-6.29e-04,1.24e-04,-7.59e-09,3.97e-03,-6.29e-04,3.98e-03,-7.37e-09
1.09e+00,-1.03e-16,2.45e-17,7.03e-17,9.56e-01,-1.16e-16,9.07e-17,-7.36e-17,9.56e-01,1.09e+00,1.73e-04,-1.16e-03,1.77e-04,-1.31e-08,7.59e-03,-1.16e-03,7.59e-03,-1.31e-08
1.14e+00,-6.00e-17,1.25e-17,8.97e-18,9.37e-01,-3.36e-17,9.55e-17,-1.20e-17,9.37e-01,1.56e+00,1.68e-04,-1.61e-03,1.76e-04,-1.71e-15,1.09e-02,-1.60e-03,1.09e-02,-8.90e-15
1.20e+00,-6.82e-17,-3.38e-17,-1.11e-17,9.19e-01,5.37e-17,1.20e-16,1.72e-17,9.19e-01,1.99e+00,1.19e-04,-1.97e-03,1.34e-04,-5.00e-15,1.41e-02,-1.96e-03,1.41e-02,-1.10e-14
1.25e+00,-1.11e-16,-1.36e-16,1.40e-17,9.03e-01,9.36e-17,1.24e-16,2.14e-17,9.02e-01,2.39e+00,3.35e-05,-2.26e-03,5.73e-05,-3.32e-14,1.72e-02,-2.25e-03,1.72e-02,-2.53e-14
1.29e+00,-1.46e-16,-4.50e-17,2.12e-17,8.88e-01,9.12e-17,1.25e-16,1.09e-16,8.87e-01,2.77e+00,-8.37e-05,-2.49e-03,-4.87e-05,-9.46e-14,2.02e-02,-2.47e-03,2.02e-02,-9.30e-14
1.34e+00,-1.03e-16,-2.32e-16,-2.19e-17,8.74e-01,1.06e-16,1.03e-16,-6.75e-18,8.73e-01,3.12e+00,-2.29e-04,-2.67e-03,-1.81e-04,-2.56e-13,2.32e-02,-2.65e-03,2.32e-02,-2.48e-13
1.40e+00,-1.76e-16,-1.54e-16,9.83e-17,8.61e-01,3.43e-16,-1.82e-18,-1.18e-16,8.60e-01,3.46e+00,-4.03e-04,-2.81e-03,-3.39e-04,-6.88e-13,2.62e-02,-2.79e-03,2.62e-02,-5.81e-13
1.45e+00,-9.02e-17,-8.13e-17,2.08e-16,8.49e-01,2.78e-16,2.18e-16,-2.93e-16,8.48e-01,3.78e+00,-6.04e-04,-2.94e-03,-5.22e-04,-1.64e-12,2.93e-02,-2.91e-03,2.93e-02,-1.23e-12
1.50e+00,-8.85e-18,-3.19e-17,1.36e-16,8.38e-01,3.97e-16,3.10e-16,-2.17e-16,8.37e-01,4.08e+00,-8.34e-04,-3.06e-03,-7.31e-04,-3.59e-12,3.24e-02,-3.02e-03,3.25e-02,-2.55e-12
