index,name,seed,status,box_size,model1.intensity,model1.radius,model2.intensity,model2.min_r1,model2.max_r1,model3.intensity,model3.radius,n_points,n_final,filler_fraction,phr,spheres_npz,voxel_npz
0,phr_22.13_id1,1000,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6787,927,0.10160489827912353,22.127479535947497,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_22.13_id1_voxel.npz
1,phr_18.52_id2,1001,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6703,807,0.08648774030482269,18.523576698479904,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_18.52_id2_voxel.npz
2,phr_14.18_id3,1002,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6643,612,0.06757529584438125,14.179432908465348,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_14.18_id3_voxel.npz
3,phr_16.38_id4,1003,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6773,726,0.07725747559458822,16.381160130075425,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_16.38_id4_voxel.npz
4,phr_22.75_id5,1004,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6811,948,0.10417241558586986,22.75165436491661,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_22.75_id5_voxel.npz
5,phr_13.23_id6,1005,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6788,574,0.06332809431826816,13.227982229403459,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_13.23_id6_voxel.npz
6,phr_18.14_id7,1006,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6810,779,0.08484404931872808,18.13890045782591,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_18.14_id7_voxel.npz
7,phr_20.42_id8,1007,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6761,882,0.09449423508380425,20.417321714243908,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_20.42_id8_voxel.npz
8,phr_18.02_id9,1008,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6777,763,0.08435614104548345,18.024980146002367,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_18.02_id9_voxel.npz
9,phr_21.54_id10,1009,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6777,929,0.09919335164988982,21.544462314491035,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v1\voxel_structures\phr_21.54_id10_voxel.npz
