index,name,seed,status,box_size,model1.intensity,model1.radius,model2.intensity,model2.min_r1,model2.max_r1,model3.intensity,model3.radius,n_points,n_final,n_removed_floaters,n_closed_voxels,n_filled_voxels,filler_fraction,phr,spheres_npz,voxel_npz
0,phr_25.90_id1,1000,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6787,909,52,5134,0,0.11691402016420913,25.902893634767487,,
1,phr_31.04_id2,1001,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6703,1070,52,5945,0,0.13693425635980436,31.042229560591675,,
2,phr_17.36_id3,1002,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6643,615,72,3247,0,0.0814966786244186,17.359765575676295,,
3,phr_28.12_id4,1003,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6773,978,37,5768,0,0.12566437509748168,28.120217764188233,,
4,phr_36.02_id5,1004,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6811,1189,63,7246,0,0.15547077149495894,36.0179297485915,,
5,phr_24.38_id6,1005,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6788,879,53,4498,0,0.11079117125980316,24.377326007956334,,
6,phr_31.15_id7,1006,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6810,1064,57,6187,0,0.13733818042208065,31.14837465971195,,
7,phr_28.87_id8,1007,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6761,952,50,6157,0,0.12856782924810137,28.86578684141057,,
8,phr_31.28_id9,1008,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6777,1071,58,6091,0,0.13783808643974932,31.27988007332258,,
9,phr_38.12_id10,1009,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6777,1228,52,7680,0,0.16306934296352285,38.12128422007888,,
10,phr_27.19_id11,1010,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6725,952,62,5242,0,0.12200506304814694,27.18757797925306,,
11,phr_30.88_id12,1011,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6787,1054,58,6071,0,0.13631837214603654,30.880575659494074,,
12,phr_32.59_id13,1012,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6688,1099,71,6364,0,0.14280115338316396,32.59378638570982,,
13,phr_23.28_id14,1013,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6763,825,59,4618,0,0.10633600883033989,23.280418030117126,,
14,phr_26.97_id15,1014,skipped,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6682,927,59,5248,0,0.12116522093846357,26.97462531532868,,
