index,name,seed,status,box_size,model1.intensity,model1.radius,model2.intensity,model2.min_r1,model2.max_r1,model3.intensity,model3.radius,n_points,n_final,n_removed_floaters,n_closed_voxels,n_filled_voxels,filler_fraction,phr,spheres_npz,voxel_npz
0,phr_28.35_id1,1000,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6787,878,83,1008,0,0.12654828639522003,28.346669830220748,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_28.35_id1_voxel.npz
1,phr_49.99_id2,1001,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6703,1281,66,2044,0,0.2035178409586788,49.993220264446336,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_49.99_id2_voxel.npz
2,phr_26.67_id3,1002,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6643,766,64,1095,0,0.1199691181900574,26.672039881192255,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_26.67_id3_voxel.npz
3,phr_43.49_id4,1003,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6773,1142,50,1844,0,0.1818670068141385,43.49253182869856,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_43.49_id4_voxel.npz
4,phr_42.26_id5,1004,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6811,1129,64,1693,0,0.1776375415393911,42.26259456907736,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_42.26_id5_voxel.npz
5,phr_39.20_id6,1005,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6788,1068,62,1564,0,0.16689604242892148,39.195076703156936,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_39.20_id6_voxel.npz
6,phr_42.63_id7,1006,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6810,1178,78,1649,0,0.17891309455875937,42.632193571665994,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_42.63_id7_voxel.npz
7,phr_55.19_id8,1007,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6761,1361,44,2194,0,0.2200328958410258,55.194525735927,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_55.19_id8_voxel.npz
8,phr_41.61_id9,1008,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6777,1124,88,1608,0,0.1753885401631365,41.61371850100351,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_41.61_id9_voxel.npz
9,phr_37.35_id10,1009,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6777,1038,78,1490,0,0.16031687422375884,37.35497831735741,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_37.35_id10_voxel.npz
10,phr_42.86_id11,1010,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6725,1152,64,1674,0,0.17968513980732437,42.85645662314926,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_42.86_id11_voxel.npz
11,phr_48.03_id12,1011,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6787,1262,67,1951,0,0.19710650867711724,48.03167211076513,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_48.03_id12_voxel.npz
12,phr_47.70_id13,1012,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6688,1251,67,1914,0,0.19599879158135008,47.695935348958784,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_47.70_id13_voxel.npz
13,phr_42.09_id14,1013,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6763,1098,64,1751,0,0.17703333221442719,42.08792124719139,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_42.09_id14_voxel.npz
14,phr_37.83_id15,1014,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6682,1017,43,1549,0,0.16202880064448993,37.830998376793005,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_37.83_id15_voxel.npz
15,phr_51.51_id16,1015,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6780,1293,66,2066,0,0.20841864992783055,51.51405087889436,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_51.51_id16_voxel.npz
16,phr_44.08_id17,1016,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6842,1193,71,1703,0,0.18388103789735155,44.08269685746935,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_44.08_id17_voxel.npz
17,phr_49.89_id18,1017,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6634,1254,65,2050,0,0.20318216911147663,49.88973833918831,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_49.89_id18_voxel.npz
18,phr_44.86_id19,1018,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6609,1174,66,1828,0,0.18653284549024873,44.86420444147819,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_44.86_id19_voxel.npz
19,phr_58.10_id20,1019,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6708,1448,67,2337,0,0.22896176697660367,58.09941133046885,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_58.10_id20_voxel.npz
20,phr_57.81_id21,1020,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6815,1449,54,2271,0,0.22808902017387803,57.81251181679991,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_57.81_id21_voxel.npz
21,phr_33.52_id22,1021,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6799,973,96,1212,0,0.1462522238259877,33.51641588971968,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_33.52_id22_voxel.npz
22,phr_67.22_id23,1022,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6708,1514,62,2796,0,0.25571481319861705,67.22041495826299,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_67.22_id23_voxel.npz
23,phr_35.35_id24,1023,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6886,997,56,1390,0,0.15303279513947166,35.35107248214827,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_35.35_id24_voxel.npz
24,phr_64.75_id25,1024,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6754,1559,59,2464,0,0.24866570440737135,64.75411269033758,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_64.75_id25_voxel.npz
25,phr_51.48_id26,1025,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6774,1322,71,2011,0,0.2083179483736699,51.4826114608585,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_51.48_id26_voxel.npz
26,phr_50.91_id27,1026,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6715,1274,78,2077,0,0.20647175321405795,50.90763628338116,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_50.91_id27_voxel.npz
27,phr_50.66_id28,1027,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6632,1268,71,2036,0,0.20566614078077272,50.65757562395274,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_50.66_id28_voxel.npz
28,phr_62.22_id29,1028,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6804,1525,67,2412,0,0.2412809237689235,62.21952068694228,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_62.22_id29_voxel.npz
29,phr_36.10_id30,1029,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6539,1012,83,1405,0,0.15575173710180928,36.095029500080386,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_36.10_id30_voxel.npz
30,phr_51.73_id31,1030,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6740,1270,57,2128,0,0.20912356080695513,51.73435098163324,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_51.73_id31_voxel.npz
31,phr_64.12_id32,1031,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6708,1469,66,2685,0,0.2468195092477594,64.11580509771855,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_64.12_id32_voxel.npz
32,phr_44.14_id33,1032,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6733,1227,63,1646,0,0.18408244100567286,44.141873605921354,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_44.14_id33_voxel.npz
33,phr_79.23_id34,1033,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6747,1788,66,3070,0,0.2882414151925078,79.23340961098397,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_79.23_id34_voxel.npz
34,phr_57.94_id35,1034,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6830,1374,62,2457,0,0.22849182639052062,57.94484632031356,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_57.94_id35_voxel.npz
35,phr_46.95_id36,1035,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6751,1250,79,1786,0,0.19351481991205396,46.94642398271437,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_46.95_id36_voxel.npz
36,phr_37.05_id37,1036,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6815,1050,90,1465,0,0.15920915712799166,37.04799827808868,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_37.05_id37_voxel.npz
37,phr_43.15_id38,1037,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6773,1149,57,1724,0,0.18069215534893088,43.149608823906625,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_43.15_id38_voxel.npz
38,phr_49.66_id39,1038,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6807,1246,83,2018,0,0.20244369104763182,49.66238471673255,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_49.66_id39_voxel.npz
39,phr_48.57_id40,1039,generated,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6739,1254,63,1916,0,0.19888556946728878,48.572828728516825,,/home/jovyan/mixed-fft-rubber/microstructure_generation/3D_samples/smaller_structures_v1/voxel_structures/phr_48.57_id40_voxel.npz
