F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,5.69e-19,6.05e-19,7.29e-19,9.58e-01,-1.53e-19,-6.39e-20,2.99e-18,9.57e-01,1.03e+00,1.52e-04,-7.80e-04,1.51e-04,-2.58e-09,3.30e-03,-7.79e-04,3.30e-03,-2.81e-09
1.20e+00,-6.76e-19,-1.23e-18,2.41e-18,9.22e-01,-1.35e-18,1.07e-18,4.74e-18,9.22e-01,1.90e+00,1.81e-04,-1.47e-03,1.80e-04,-4.89e-09,6.28e-03,-1.46e-03,6.29e-03,-5.29e-09
1.30e+00,-1.45e-18,-1.67e-18,1.65e-18,8.91e-01,-3.96e-18,3.95e-18,3.61e-18,8.91e-01,2.64e+00,1.24e-04,-2.07e-03,1.25e-04,-7.97e-09,9.12e-03,-2.03e-03,9.13e-03,-8.58e-09
1.39e+00,-9.29e-19,4.53e-18,1.79e-19,8.64e-01,-4.96e-18,1.36e-18,5.60e-18,8.64e-01,3.30e+00,2.62e-06,-2.58e-03,1.02e-05,-1.14e-08,1.19e-02,-2.50e-03,1.19e-02,-1.21e-08
1.50e+00,-2.92e-18,2.24e-18,4.46e-18,8.40e-01,-7.14e-19,3.22e-18,1.14e-17,8.40e-01,3.89e+00,-1.74e-04,-3.02e-03,-1.50e-04,-1.52e-08,1.48e-02,-2.89e-03,1.48e-02,-1.59e-08
1.60e+00,-6.30e-18,1.12e-18,4.65e-18,8.20e-01,1.07e-18,2.64e-18,1.59e-17,8.20e-01,4.44e+00,-4.04e-04,-3.43e-03,-3.50e-04,-1.95e-08,1.78e-02,-3.25e-03,1.78e-02,-2.01e-08
1.69e+00,-4.71e-18,-1.48e-18,5.91e-18,8.02e-01,2.65e-18,2.89e-18,1.54e-17,8.01e-01,4.95e+00,-6.87e-04,-3.82e-03,-5.87e-04,-2.50e-08,2.10e-02,-3.58e-03,2.10e-02,-2.52e-08
1.80e+00,4.28e-19,-2.92e-18,1.10e-17,7.86e-01,2.52e-19,5.46e-19,1.47e-17,7.85e-01,5.43e+00,-1.02e-03,-4.22e-03,-8.61e-04,-3.26e-08,2.43e-02,-3.91e-03,2.44e-02,-3.23e-08
1.89e+00,1.96e-18,-9.02e-18,4.94e-18,7.72e-01,-1.37e-19,-2.00e-18,1.11e-17,7.71e-01,5.89e+00,-1.43e-03,-4.62e-03,-1.17e-03,-4.39e-08,2.78e-02,-4.25e-03,2.79e-02,-4.29e-08
1.99e+00,5.26e-19,1.14e-18,-5.37e-18,7.59e-01,-3.93e-18,1.30e-17,1.18e-17,7.59e-01,6.32e+00,-1.91e-03,-5.06e-03,-1.53e-03,-6.17e-08,3.16e-02,-4.61e-03,3.16e-02,-5.99e-08
